word,definition
"above and beyond the call of duty","more heroic than what is expected"
"a day late and a dollar short","action taken too late and too feeble to be of any use"
"a quick drop and a sudden stop","a fall to one’s death, especially by hanging"
"a riddle wrapped up in an enigma","something very mysterious and hidden"
"able to get a word in edgewise","able to participate in the conversation, or interrupt another person's monologue, often preceded by a negative"
"basal body temperature method of family planning","natural family planning in which the fertile period of the woman's menstrual cycle is inferred by noting the rise in basal body temperature that typically occurs with ovulation"
"blood-oxygenation level dependent functional magnetic resonance imaging","functional magnetic resonance imaging that relies on intrinsic changes in hemoglobin oxygenation"
"let the cat out of the bag","divulge confidential information or secrets"
"naked as the day one was born","as naked as at birth"
"naked as the day you were born","as naked as at birth"
