word,definition
"arguably","as can be shown by argument"
"anywhere","at or in or to any place"
"anyplace","at or in or to any place"
"adroitly","with adroitness"
"actively","in an active manner"
"abruptly","quickly and without warning"
"absently","in an absentminded or preoccupied manner"
"annually","without missing a year"
"annually","by the year"
"alfresco","outside a building"
"alfresco","in the open air"
"actually","used to imply that one would expect the fact to be the opposite of that stated"
"actually","in actual fact"
"actually","as a sentence modifier to add slight emphasis"
"actually","at the present moment"
"avowedly","as acknowledged"
"avowedly","by open declaration"
"aerially","by means of aircraft"
"atonally","without tonality"
"artfully","in an artful manner"
"artfully","in a disingenuous manner"
"ardently","in an ardent manner"
"amidship","at or near or toward the middle"
"amidship","at or near or toward the center of a ship"
"amidship","located in the middle part of a ship or aircraft"
"amicably","in an amicable manner"
"abjectly","in a hopeless resigned manner"
"adorably","in an adorable manner"
"astutely","in a shrewd manner"
"absurdly","in an absurd manner or to an absurd degree"
"amorally","without regard for morality"
"absolute","perfect or complete or pure"
"absolute","not capable of being violated or infringed"
"absolute","complete and without restriction or qualification"
"absolute","not limited by law"
"absolute","expressing finality with no implication of possible change"
"absolute","something that is conceived or that exists independently and not in relation to other things"
"abducent","especially of muscles"
"abducent","a small motor nerve supplying the lateral rectus muscle of the eye"
"adducent","especially of muscles"
"abridged","(used of texts) shortened by condensing or rewriting"
"accurate","conforming exactly or almost exactly to fact or to a standard or performing with total accuracy"
"accurate","(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth"
"abstract","existing only in the mind"
"abstract","dealing with a subject in the abstract without practical purpose or intention"
"abstract","not representing or imitating external reality or the objects of nature"
"abstract","a concept or idea not associated with any specific instance"
"abstract","a sketchy summary of the main points of an argument or theory"
"abstract","to consider apart from a particular case or instance"
"abstract","to give a summary of the main points of"
"abstract","to make off with belongings of others"
"alkaline","relating to or containing an alkali"
"abundant","present in great quantity"
"aciduric","especially of some bacteria"
"accepted","generally approved or compelling recognition"
"activist","advocating or engaged in activism"
"activist","a militant reformer"
"additive","characterized or produced by addition"
"additive","designating or involving an equation whose terms are of the first degree"
"additive","something added to enhance food or gasoline or paint or medicine"
"athletic","vigorously active"
"athletic","having a sturdy and well proportioned body"
"athletic","relating to or befitting athletics or athletes"
"adaptive","having a capacity for adaptation"
"addicted","compulsively or physiologically dependent on something habit-forming"
"ablative","tending to ablate"
"ablative","relating to the ablative case"
"ablative","the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb"
"adequate","having the requisite qualities or resources to meet a task"
"adequate","about average"
"adequate","sufficient for the purpose"
"adhesive","tending to adhere"
"adhesive","a substance that unites or bonds surfaces together"
"adherent","sticking fast"
"adherent","someone who believes and helps to spread the doctrine of another"
"affected","acted upon"
"affected","speaking or behaving in an artificial way to make an impression"
"affected","being excited or provoked to the expression of an emotion"
"appalled","struck with fear, dread, or consternation"
"artistic","satisfying aesthetic standards and sensibilities"
"artistic","aesthetically pleasing"
"artistic","relating to or characteristic of art or artists"
"abrasive","sharply disagreeable"
"abrasive","causing abrasion"
"abrasive","a substance that abrades or wears down"
"agitated","troubled emotionally and usually deeply"
"agitated","physically disturbed or set in motion"
"annoying","causing irritation or annoyance"
"annoying","the act of troubling or annoying someone"
"anabatic","of an air current or wind"
"analogue","of a circuit or device having an output that is proportional to the input"
"analogue","something having the property of being analogous to something else"
"analytic","of a proposition that is necessarily true independent of fact or experience"
"analytic","expressing a grammatical category by using two or more words rather than inflection"
"analytic","using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)"
"analytic","using or subjected to a methodology using algebra and calculus"
"aspirant","desiring or striving for recognition or advancement"
"aspirant","an ambitious and aspiring young person"
"aspiring","desiring or striving for recognition or advancement"
"apocrine","(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion"
"artesian","(of water) rising to the surface under internal hydrostatic pressure"
"anabolic","characterized by or promoting constructive metabolism"
"anabolic","of or related to the synthetic phase of metabolism"
"antrorse","bent or curved forward or upward"
"animated","having life or vigor or spirit"
"animated","made to appear to move as living creatures do"
"anterior","earlier in time"
"anterior","of or near the head end or toward the front plane of a body"
"anterior","a tooth situated at the front of the mouth"
"arboreal","inhabiting or frequenting trees"
"arboreal","resembling a tree in form and branching structure"
"arboreal","of or relating to or formed by trees"
"armoured","protected by armor (used of persons or things military)"
"armoured","used of animals"
"apposite","being of striking appropriateness and pertinence"
"attached","used of buildings joined by common sidewalls"
"attached","fond and affectionate"
"attached","being joined in close association"
"absorbed","giving or marked by complete attention to"
"absorbed","retained without reflection"
"approved","established by authority"
"awakened","(somewhat formal) having been waked up"
"awakened","aroused or activated"
