word,definition
"a cappella","without musical accompaniment"
"a cappella","sung without instrumental accompaniment"
"anno Domini","in the Christian era"
"all right","in a satisfactory or adequate manner"
"all right","an expression of agreement normally occurring at the beginning of a sentence"
"all right","without doubt (used to reinforce an assertion)"
"all right","being satisfactory or in satisfactory condition"
"at times","now and then or here and there"
"as such","with respect to its inherent nature"
"as yet","used in negative statement to describe a situation that has existed up to this point or up to the present time"
"a bit","to a small degree"
"a little","to a small degree"
"a trifle","to a small degree"
"any longer","at the present or from now on"
"all over","to or in any or all places"
"all over","over the entire area"
"all over","having come or been brought to a conclusion"
"as well","in addition"
"at last","as the end result of a succession or process"
"at all","in the slightest degree or in any respect"
"at once","without delay or hesitation"
"at once","simultaneously"
"at present","at the present moment"
"all along","all the time or over a period of time"
"a lot","to a very great degree or extent"
"a fortiori","with greater reason"
"all told","with everything included or counted"
"all together","used of a group whose members acted or were acted upon collectively and when `all' and `together' can be separated by other words"
"all together","all at the same time"
"at length","in a lengthy or prolix manner"
"at random","in a random manner"
"ad infinitum","to infinity"
"ad interim","for an intervening time"
"ad lib","without advance preparation"
"ad libitum","without advance preparation"
"at home","at, to, or toward the place where you reside"
"at home","on the home team's field"
"at home","a reception held in your own home"
"ab initio","at the beginning"
"at heart","in reality"
"at bottom","in reality"
"at large","in a general fashion"
"at large","having escaped, especially from confinement"
"at least","not less than"
"at least","if nothing else"
"at most","not more than"
"at leisure","in an unhurried way or at one's convenience"
"at best","under the best of conditions"
"at worst","under the worst of conditions"
"and so","subsequently or soon afterward (often used as sentence connectors)"
"and then","subsequently or soon afterward (often used as sentence connectors)"
"as usual","in the usual manner"
"as follows","what is listed next"
"at will","as one chooses or pleases"
"at stake","to be won or lost"
"at stake","in question or at issue"
"above all","above and beyond all other consideration"
"above all","taking everything together"
"after all","emphasizes something to be considered"
"after all","in any case, contrary to expectation"
"after all","in spite of"
"after hours","not during regular hours"
"against time","as fast as possible"
"and how","an expression of emphatic agreement"
"as needed","according to need (physicians use PRN in writing prescriptions)"
"as required","according to need (physicians use PRN in writing prescriptions)"
"all too","to a high degree"
"ad hoc","for one specific case"
"ad hoc","for or concerned with one specific purpose"
"ad hoc","often improvised or impromptu"
"ad nauseam","to a sickening extent"
"ad val","in proportion to the estimated value of the goods taxed"
"ad valorem","in proportion to the estimated value of the goods taxed"
"ante meridiem","before noon"
"a posteriori","derived from observed facts"
"a posteriori","involving reasoning from facts or particulars to general principles or from effects to causes"
"a posteriori","requiring evidence for validation or support"
"a priori","derived by logic, without observed facts"
"a priori","involving deductive reasoning from a general principle to a necessary effect"
"a priori","based on hypothesis or theory rather than experiment"
"adequate to","having the requisite qualities for"
"at peace","dead"
"at rest","dead"
"at rest","in a state of repose or especially sleep"
"attributive genitive","a word in the genitive case used as an attributive adjective"
"attributive genitive","a word in the genitive case that is used as an attributive adjective"
"at work","on the job"
"au naturel","completely unclothed"
"at hand","close in time"
"at hand","close in space"
"at variance","not in accord"
"at odds","in disagreement"
"au gratin","cooked while covered with browned breadcrumbs (and sometimes cheese)"
"agreed upon","constituted or contracted by stipulation or agreement"
"at bay","forced to turn and face attackers"
"al dente","of pasta cooked so as to be firm when eaten"
"at loggerheads","in a dispute or confrontation"
"all important","of the greatest importance"
"au courant","being up to particular standard or level especially in being up to date in knowledge"
"au fait","being up to particular standard or level especially in being up to date in knowledge"
"at fault","deserving blame"
"au jus","served in its natural juices or gravy"
"a few","more than one but indefinitely small in number"
"ad hominem","appealing to personal considerations (rather than to fact or reason)"
"at sea","perplexed by many conflicting situations or statements"
"all in","very tired"
"air sick","experiencing motion sickness"
"abstract entity","a general concept formed by extracting common features from specific examples"
"animate thing","a living or once living entity"
"animate being","a living organism characterized by voluntary movement"
"absolute space","physical space independent of what occupies it"
"accomplished fact","an irreversible accomplishment"
"amphibious landing","a military action of coordinated land, sea, and air forces organized for an invasion"
"anticipatory breach","a breach of contract committed prior to the time of required performance"
"auction sale","the public sale of something to the highest bidder"
"accommodation reflex","reflex changes in the eyes that enable an object to be focused on the retina"
"airplane maneuver","a maneuver executed by an aircraft"
"abdominal delivery","the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way)"
"assisted suicide","suicide of a terminally ill person that involves an assistant who serves to make dying as painless and dignified as possible"
"aircraft landing","landing an aircraft"
"airplane landing","landing an aircraft"
"air travel","travel via aircraft"
"angry walk","a stiff or threatening gait"
"about turn","act of pivoting 180 degrees, especially in a military formation"
"about turn","a complete change of opinion, direction, etc"
"asbestos abatement","the removal of asbestos from a public building"
"auto racing","the sport of racing automobiles"
"acrobatic stunt","a stunt performed by an acrobat"
"acrobatic feat","a stunt performed by an acrobat"
"away game","a game played away from home"
"American football","a game played by two teams of 11 players on a rectangular field 100 yards long"
"all fours","card games in which points are won for taking the high or low or jack or game"
"athletic game","a game involving athletic activity"
"association football","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal"
"auction bridge","a variety of bridge in which tricks made in excess of the contract are scored toward game"
"auction pitch","an all-fours game in which the first card led is a trump"
"April fool","a practical joke or trick played on the first day of April"
"April fool","the butt of a prank played on April 1st"
"apache dance","a violent fast dance in French vaudeville (an apache is a member of the French underworld)"
"approach shot","a relatively short golf shot intended to put the ball onto the putting green"
"advisory service","a consulting service in which a CPA develops findings and conclusions and recommendations that are presented to the client for consideration and decision making"
